イベント名,tag
もうええでしょう,jimenshi
周年(12/23),anniv
パセリ取材,paseri
スロパチ,slopachi
鉄カバ銀,kaba_silver
スロパチ紫,purple
えっぐう,egg
リプレイ示唆,replay
肉トラッピー,nikutora
トーキョーバーサス,tokyovs
サイキョー取材,saikyo
新台入れ替え,sindai
反転OPEN,hanten_open
ムゲン,mugen
店長白背景,tencho_siro
店長虹背景,tencho_rainbow
大人のプロ活,otona_no_pro
虹色OPEN,rainbow_open
タイガーハイパー,tiger_hyper
ちゅんげー調査隊,chunge
東京大戦(1日),tokyo_taisen
スロパチ風OPEN,slopachi_open
